kabupaten	segment	honda_2026	total_market_2026	market_share_2026_pct	honda_2025	total_market_2025	market_share_2025_pct	delta_pp	market_contribution_to_province_2026_pct	period	source_file	provenance
Ma. Jambi	Sport Low	67	67	100.0	68	68	100.0	0.0	0.08476506161281344	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	Sport Mid	212	241	87.96680497925311	213	245	86.93877551020408	1.0280294690490308	0.3049011917714633	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	ALL	9923	12179	81.47631168404631	5940	7402	80.24858146446905	1.2277302195772535	15.408263960932162	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	AT High	2110	3782	55.79058699101005	699	1724	40.545243619489554	15.245343371520498	4.78479795551732	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	AT Low	3946	3986	98.9964877069744	2802	2835	98.83597883597884	0.16050887099557087	5.042888590875736	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	AT Mid	1615	1717	94.05940594059405	1056	1163	90.79965606190885	3.2597498786851986	2.17226284760001	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	Cub High	29	227	12.77533039647577	20	118	16.94915254237288	-4.173822145897109	0.2871890893449052	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	Cub Low	878	878	100.0	685	685	100.0	0.0	1.1108018521798537	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	Cub Mid	253	433	58.429561200923786	209	360	58.05555555555556	0.37400564536822856	0.5478100250499734	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	Sport High	0	0		0	2	0.0		0.0	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	Sport Low	56	56	100.0	33	33	100.0	0.0	0.07084840970623213	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Merangin	Sport Mid	1036	1100	94.18181818181817	436	479	91.02296450939458	3.1588536724235894	1.391665190658131	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	ALL	7873	9211	85.47388991423298	5669	6603	85.85491443283357	-0.38102451860058295	11.65329824650186	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	AT High	1672	2606	64.15963161933999	835	1460	57.1917808219178	6.967850797422187	3.2969813516864455	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	AT Low	2809	2832	99.18785310734464	2297	2322	98.92334194659776	0.26451116074687775	3.5829052908580246	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	AT Mid	1248	1317	94.76082004555809	876	961	91.15504682622269	3.605773219335404	1.6662027782697806	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	Cub High	36	212	16.9811320754717	38	102	37.254901960784316	-20.273769885312618	0.26821183674502164	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	Cub Low	1184	1185	99.915611814346	933	933	100.0	-0.08438818565400652	1.4992029553908048	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
