area_code	kabupaten	kecamatan	kelurahan_desa	source_sheet	kecamatan_source_row	kelurahan_source_row
AREA 414	Batanghari	MUARA TEMBESI	Rantau Kapas Tuo	Batanghari	135	148
AREA 415	Batanghari	MUARA TEMBESI	Suka Ramai	Batanghari	135	149
AREA 416	Batanghari	MUARA TEMBESI	Sungai Pulai	Batanghari	135	150
AREA 417	Batanghari	MUARA TEMBESI	Tanjung Marwo	Batanghari	135	151
AREA 460	Batanghari	PEMAYUNG	Awin	Batanghari	154	157
AREA 461	Batanghari	PEMAYUNG	Jembatan Mas	Batanghari	154	158
AREA 462	Batanghari	PEMAYUNG	Kampung Pulau	Batanghari	154	159
AREA 463	Batanghari	PEMAYUNG	Kaos	Batanghari	154	160
AREA 464	Batanghari	PEMAYUNG	Kuap	Batanghari	154	161
AREA 465	Batanghari	PEMAYUNG	Kubu Kandang	Batanghari	154	162
AREA 466	Batanghari	PEMAYUNG	Lopak Aur	Batanghari	154	163
AREA 467	Batanghari	PEMAYUNG	Lubuk Ruso	Batanghari	154	164
AREA 468	Batanghari	PEMAYUNG	Olak Rambahan	Batanghari	154	165
AREA 469	Batanghari	PEMAYUNG	Pulau Betung	Batanghari	154	166
AREA 470	Batanghari	PEMAYUNG	Pulau Raman	Batanghari	154	167
AREA 471	Batanghari	PEMAYUNG	Selat	Batanghari	154	168
AREA 472	Batanghari	PEMAYUNG	Senaning	Batanghari	154	169
AREA 473	Batanghari	PEMAYUNG	Serasah	Batanghari	154	170
AREA 474	Batanghari	PEMAYUNG	Simpang Kubu Kandang	Batanghari	154	171
AREA 475	Batanghari	PEMAYUNG	Tebing Tinggi	Batanghari	154	172
AREA 476	Batanghari	PEMAYUNG	Teluk	Batanghari	154	173
AREA 477	Batanghari	PEMAYUNG	Teluk Ketapang	Batanghari	154	174
AREA 478	Batanghari	PEMAYUNG	Ture	Batanghari	154	175
AREA 1395	Sarolangun	AIR HITAM	Baru	Sarolangun	18	21
AREA 1396	Sarolangun	AIR HITAM	Lubuk Jering	Sarolangun	18	22
AREA 1397	Sarolangun	AIR HITAM	Jernih	Sarolangun	18	23
AREA 1398	Sarolangun	AIR HITAM	Semurung	Sarolangun	18	24
AREA 1399	Sarolangun	AIR HITAM	Lubuk Kepayang	Sarolangun	18	25
AREA 1400	Sarolangun	AIR HITAM	Pematang Kabau	Sarolangun	18	26
AREA 1401	Sarolangun	AIR HITAM	Bukit suban	Sarolangun	18	27
AREA 1402	Sarolangun	AIR HITAM	Mentawak Baru	Sarolangun	18	28
AREA 1403	Sarolangun	AIR HITAM	Mentawak Ulu	Sarolangun	18	29
AREA 1372	Sarolangun	BATANG ASAI	Tambak Ratu	Sarolangun	32	35
AREA 1373	Sarolangun	BATANG ASAI	Sungai keradak	Sarolangun	32	36
AREA 1374	Sarolangun	BATANG ASAI	Muaro Air Dua	Sarolangun	32	37
AREA 1375	Sarolangun	BATANG ASAI	Simpang Narso	Sarolangun	32	38
AREA 1376	Sarolangun	BATANG ASAI	Batin Pengambang	Sarolangun	32	39
AREA 1377	Sarolangun	BATANG ASAI	Batu Empang	Sarolangun	32	40
AREA 1378	Sarolangun	BATANG ASAI	Rantau Panjang	Sarolangun	32	41
AREA 1379	Sarolangun	BATANG ASAI	Pulau Salak Baru	Sarolangun	32	42
AREA 1380	Sarolangun	BATANG ASAI	Muaro Pemuat	Sarolangun	32	43
AREA 1381	Sarolangun	BATANG ASAI	Lubuk Bangkar	Sarolangun	32	44
AREA 1382	Sarolangun	BATANG ASAI	Pekan Gedang	Sarolangun	32	45
AREA 1383	Sarolangun	BATANG ASAI	Raden Anom	Sarolangun	32	46
AREA 1384	Sarolangun	BATANG ASAI	Datuk Nan Duo	Sarolangun	32	47
AREA 1385	Sarolangun	BATANG ASAI	Bukit Kalimau Ulu	Sarolangun	32	48
AREA 1386	Sarolangun	BATANG ASAI	Sungai Bemban	Sarolangun	32	49
AREA 1387	Sarolangun	BATANG ASAI	Muaro Cuban	Sarolangun	32	50
AREA 1388	Sarolangun	BATANG ASAI	Sungai baung	Sarolangun	32	51
AREA 1389	Sarolangun	BATANG ASAI	Padang Jering	Sarolangun	32	52
AREA 1390	Sarolangun	BATANG ASAI	Kasiro	Sarolangun	32	53
AREA 1391	Sarolangun	BATANG ASAI	Kasiro ilir	Sarolangun	32	54
AREA 1392	Sarolangun	BATANG ASAI	Bukit berantai	Sarolangun	32	55
AREA 1393	Sarolangun	BATANG ASAI	Bukit Sulah	Sarolangun	32	56
AREA 1394	Sarolangun	BATANG ASAI	Paniban Baru	Sarolangun	32	57
AREA 1314	Sarolangun	BATHIN VIII	Teluk Kecimbung	Sarolangun	60	63
AREA 1315	Sarolangun	BATHIN VIII	Limbur Tembesi	Sarolangun	60	64
AREA 1316	Sarolangun	BATHIN VIII	Rantau Gedang	Sarolangun	60	65
AREA 1317	Sarolangun	BATHIN VIII	Penarun	Sarolangun	60	66
AREA 1318	Sarolangun	BATHIN VIII	Pulau lintang	Sarolangun	60	67
AREA 1319	Sarolangun	BATHIN VIII	Tanjung	Sarolangun	60	68
AREA 1320	Sarolangun	BATHIN VIII	Bangun Jayo	Sarolangun	60	69
AREA 1321	Sarolangun	BATHIN VIII	Pulau Melako	Sarolangun	60	70
AREA 1322	Sarolangun	BATHIN VIII	Batu Penyabung	Sarolangun	60	71
AREA 1323	Sarolangun	BATHIN VIII	Tanjunggagak	Sarolangun	60	72
AREA 1324	Sarolangun	BATHIN VIII	Pulau buayo	Sarolangun	60	73
AREA 1325	Sarolangun	BATHIN VIII	Dusun Dalam	Sarolangun	60	74
AREA 1326	Sarolangun	BATHIN VIII	MuaraLati	Sarolangun	60	75
AREA 1327	Sarolangun	BATHIN VIII	Suka Jadi	Sarolangun	60	76
AREA 1328	Sarolangun	BATHIN VIII	Teluk Mancur	Sarolangun	60	77
AREA 1288	Sarolangun	CERMIN NAN GEDANG	Kampung Tujuh	Sarolangun	80	83
AREA 1289	Sarolangun	CERMIN NAN GEDANG	Lubuk Resam	Sarolangun	80	84
AREA 1290	Sarolangun	CERMIN NAN GEDANG	Teluk rendah	Sarolangun	80	85
AREA 1291	Sarolangun	CERMIN NAN GEDANG	Teluk tigo	Sarolangun	80	86
AREA 1292	Sarolangun	CERMIN NAN GEDANG	Lubuk Resam Hilir	Sarolangun	80	87
AREA 1293	Sarolangun	CERMIN NAN GEDANG	Pemuncak	Sarolangun	80	88
AREA 1294	Sarolangun	CERMIN NAN GEDANG	Tambang Tinggi	Sarolangun	80	89
AREA 1295	Sarolangun	CERMIN NAN GEDANG	Tendah	Sarolangun	80	90
AREA 1296	Sarolangun	CERMIN NAN GEDANG	Sungaikeramat	Sarolangun	80	91
AREA 1297	Sarolangun	CERMIN NAN GEDANG	Sekamis	Sarolangun	80	92
AREA 1298	Sarolangun	LIMUN	Muaro Mansao	Sarolangun	95	98
AREA 1299	Sarolangun	LIMUN	Pulau pandan	Sarolangun	95	99
AREA 1300	Sarolangun	LIMUN	Temenggung	Sarolangun	95	100
AREA 1301	Sarolangun	LIMUN	Ranggo	Sarolangun	95	101
AREA 1302	Sarolangun	LIMUN	Panca Karya	Sarolangun	95	102
AREA 1303	Sarolangun	LIMUN	Lubuk Bedorong	Sarolangun	95	103
AREA 1304	Sarolangun	LIMUN	Meribung	Sarolangun	95	104
AREA 1305	Sarolangun	LIMUN	Napal Melintang	Sarolangun	95	105
AREA 1306	Sarolangun	LIMUN	Berkun	Sarolangun	95	106
AREA 1307	Sarolangun	LIMUN	Mersip	Sarolangun	95	107
AREA 1308	Sarolangun	LIMUN	Tanjung Raden	Sarolangun	95	108
AREA 1309	Sarolangun	LIMUN	Moenti	Sarolangun	95	109
AREA 1310	Sarolangun	LIMUN	Demang	Sarolangun	95	110
AREA 1311	Sarolangun	LIMUN	Temalang	Sarolangun	95	111
AREA 1312	Sarolangun	LIMUN	Muara Limun	Sarolangun	95	112
AREA 1313	Sarolangun	LIMUN	Suka Damai	Sarolangun	95	113
AREA 1428	Sarolangun	MANDIANGIN	Muara Ketalo	Sarolangun	116	119
AREA 1429	Sarolangun	MANDIANGIN	Kertopati	Sarolangun	116	120
AREA 1430	Sarolangun	MANDIANGIN	Taman Dewa	Sarolangun	116	121
AREA 1431	Sarolangun	MANDIANGIN	BUKIT PERANGINAN	Sarolangun	116	122
AREA 1432	Sarolangun	MANDIANGIN	SUNGAI ROTAN	Sarolangun	116	123
AREA 1433	Sarolangun	MANDIANGIN	Mandiangin	Sarolangun	116	124
AREA 1434	Sarolangun	MANDIANGIN	Rangkiling Simpang	Sarolangun	116	125
AREA 1435	Sarolangun	MANDIANGIN	Pemusiran	Sarolangun	116	126
AREA 1436	Sarolangun	MANDIANGIN	Gurun Tuo Simpang	Sarolangun	116	127
AREA 1437	Sarolangun	MANDIANGIN	Gurun Mudo	Sarolangun	116	128
AREA 1438	Sarolangun	MANDIANGIN	Gurun Tuo	Sarolangun	116	129
AREA 1439	Sarolangun	MANDIANGIN	Rangkiling	Sarolangun	116	130
AREA 1440	Sarolangun	MANDIANGIN	Mandiangin Tuo	Sarolangun	116	131
AREA 1441	Sarolangun	MANDIANGIN	Simpang Kertopati	Sarolangun	116	132
AREA 1442	Sarolangun	MANDIANGIN	Gurun Baru	Sarolangun	116	133
AREA 1443	Sarolangun	MANDIANGIN	Kute Jaye	Sarolangun	116	134
AREA 1444	Sarolangun	MANDIANGIN	Mandiangin Pasar	Sarolangun	116	135
AREA 1445	Sarolangun	MANDIANGIN	Talang Serdang	Sarolangun	116	136
AREA 1418	Sarolangun	MANDIANGIN TIMUR	Suka Maju	Sarolangun	139	142
AREA 1419	Sarolangun	MANDIANGIN TIMUR	Meranti Baru	Sarolangun	139	143
AREA 1420	Sarolangun	MANDIANGIN TIMUR	Petiduran Baru	Sarolangun	139	144
AREA 1421	Sarolangun	MANDIANGIN TIMUR	Guruh Baru	Sarolangun	139	145
AREA 1422	Sarolangun	MANDIANGIN TIMUR	Butang Baru	Sarolangun	139	146
AREA 1423	Sarolangun	MANDIANGIN TIMUR	Jati Baru	Sarolangun	139	147
AREA 1424	Sarolangun	MANDIANGIN TIMUR	Sungai butang	Sarolangun	139	148
AREA 1425	Sarolangun	MANDIANGIN TIMUR	Jernang Baru	Sarolangun	139	149
AREA 1426	Sarolangun	MANDIANGIN TIMUR	Meranti Jaya	Sarolangun	139	150
AREA 1427	Sarolangun	MANDIANGIN TIMUR	Jati Baru Mudo	Sarolangun	139	151
AREA 1404	Sarolangun	PAUH	Pauh	Sarolangun	154	157
AREA 1405	Sarolangun	PAUH	PENGIDARAN	Sarolangun	154	158
AREA 1406	Sarolangun	PAUH	Karang Mendapo	Sarolangun	154	159
AREA 1407	Sarolangun	PAUH	Batu Ampar	Sarolangun	154	160
AREA 1408	Sarolangun	PAUH	Batu Kucing	Sarolangun	154	161
AREA 1409	Sarolangun	PAUH	Semaran	Sarolangun	154	162
AREA 1410	Sarolangun	PAUH	Kasang Melintang	Sarolangun	154	163
AREA 1411	Sarolangun	PAUH	Pangkal Bulian	Sarolangun	154	164
AREA 1412	Sarolangun	PAUH	Lubuk Napal	Sarolangun	154	165
AREA 1413	Sarolangun	PAUH	Sepintun	Sarolangun	154	166
AREA 1414	Sarolangun	PAUH	Lamban Sigatal	Sarolangun	154	167
AREA 1415	Sarolangun	PAUH	Seko Besar	Sarolangun	154	168
AREA 1416	Sarolangun	PAUH	Taman Bandung	Sarolangun	154	169
AREA 1417	Sarolangun	PAUH	Danau Serdang	Sarolangun	154	170
AREA 1345	Sarolangun	PELAWAN	Pulau Aro	Sarolangun	173	176
AREA 1346	Sarolangun	PELAWAN	Pematang Kulim	Sarolangun	173	177
AREA 1347	Sarolangun	PELAWAN	Mekar Sari	Sarolangun	173	178
AREA 1348	Sarolangun	PELAWAN	Penegah	Sarolangun	173	179
AREA 1349	Sarolangun	PELAWAN	Pelawan	Sarolangun	173	180
AREA 1350	Sarolangun	PELAWAN	Bukit	Sarolangun	173	181
AREA 1351	Sarolangun	PELAWAN	Lubuk Sepuh	Sarolangun	173	182
AREA 1352	Sarolangun	PELAWAN	Rantau Tenang	Sarolangun	173	183
AREA 1353	Sarolangun	PELAWAN	Muara danau	Sarolangun	173	184
AREA 1354	Sarolangun	PELAWAN	Sungai merah	Sarolangun	173	185
AREA 1355	Sarolangun	PELAWAN	Batu Putih	Sarolangun	173	186
AREA 1356	Sarolangun	PELAWAN	Pasar Pelawan	Sarolangun	173	187
AREA 1357	Sarolangun	PELAWAN	Pelawan Jaya	Sarolangun	173	188
AREA 1358	Sarolangun	PELAWAN	Lubuk Sayak	Sarolangun	173	189
AREA 1329	Sarolangun	SAROLANGUN	Aur Gading	Sarolangun	192	195
AREA 1330	Sarolangun	SAROLANGUN	Sungai baung	Sarolangun	192	196
AREA 1331	Sarolangun	SAROLANGUN	Baru	Sarolangun	192	197
AREA 1332	Sarolangun	SAROLANGUN	Tinting	Sarolangun	192	198
AREA 1333	Sarolangun	SAROLANGUN	Dusun Sarolangun	Sarolangun	192	199
AREA 1334	Sarolangun	SAROLANGUN	Sukasari	Sarolangun	192	200
AREA 1335	Sarolangun	SAROLANGUN	Pasar Sarolangun	Sarolangun	192	201
AREA 1336	Sarolangun	SAROLANGUN	Sarolangun Kembang	Sarolangun	192	202
AREA 1337	Sarolangun	SAROLANGUN	Gunungkembang	Sarolangun	192	203
AREA 1338	Sarolangun	SAROLANGUN	Bernai	Sarolangun	192	204
AREA 1339	Sarolangun	SAROLANGUN	Panti	Sarolangun	192	205
AREA 1340	Sarolangun	SAROLANGUN	SUNGAI ABANG	Sarolangun	192	206
AREA 1341	Sarolangun	SAROLANGUN	Lidung	Sarolangun	192	207
AREA 1342	Sarolangun	SAROLANGUN	Ladang Panjang	Sarolangun	192	208
AREA 1343	Sarolangun	SAROLANGUN	Ujung Tanjung	Sarolangun	192	209
AREA 1344	Sarolangun	SAROLANGUN	Bernai Dalam	Sarolangun	192	210
AREA 1359	Sarolangun	SINGKUT	Sungai benteng	Sarolangun	213	216
AREA 1360	Sarolangun	SINGKUT	Sungai gedang	Sarolangun	213	217
AREA 1361	Sarolangun	SINGKUT	Bukit tigo	Sarolangun	213	218
AREA 1362	Sarolangun	SINGKUT	Payo Lebar	Sarolangun	213	219
AREA 1363	Sarolangun	SINGKUT	Perdamaian	Sarolangun	213	220
AREA 1364	Sarolangun	SINGKUT	Pasar Singkut	Sarolangun	213	221
AREA 1365	Sarolangun	SINGKUT	Siliwangi	Sarolangun	213	222
AREA 1366	Sarolangun	SINGKUT	Simpang Nibung	Sarolangun	213	223
AREA 1367	Sarolangun	SINGKUT	Bukitbumi Raya	Sarolangun	213	224
AREA 1368	Sarolangun	SINGKUT	Argo Sari	Sarolangun	213	225
AREA 1369	Sarolangun	SINGKUT	Sendang Sari	Sarolangun	213	226
AREA 1370	Sarolangun	SINGKUT	Bukit murau	Sarolangun	213	227
AREA 1371	Sarolangun	SINGKUT	Bukit talang Mas	Sarolangun	213	228
AREA 1074	Merangin	BANGKO	Mudo	Merangin	31	34
AREA 1075	Merangin	BANGKO	Pasar Bangko	Merangin	31	35
AREA 1076	Merangin	BANGKO	Kungkai	Merangin	31	36
AREA 1077	Merangin	BANGKO	Langling	Merangin	31	37
AREA 1078	Merangin	BANGKO	Sungai Kapas	Merangin	31	38
AREA 1079	Merangin	BANGKO	Pasar Atas Bangko	Merangin	31	39
AREA 1080	Merangin	BANGKO	Dusun Bangko	Merangin	31	40
AREA 1081	Merangin	BANGKO	Pematang Kandis	Merangin	31	41
AREA 1082	Merangin	BANGKO BARAT	Pulau Rengas	Merangin	44	47
AREA 1083	Merangin	BANGKO BARAT	Biuku Tanjung	Merangin	44	48
AREA 1084	Merangin	BANGKO BARAT	Bedeng Rejo	Merangin	44	49
AREA 1085	Merangin	BANGKO BARAT	Sungai Putih	Merangin	44	50
AREA 1086	Merangin	BANGKO BARAT	Bukit Beringin	Merangin	44	51
AREA 1087	Merangin	BANGKO BARAT	Pulau Rengas Ulu	Merangin	44	52
AREA 1088	Merangin	BATANG MASUMAI	Lubuk Gaung	Merangin	55	58
AREA 1089	Merangin	BATANG MASUMAI	Salam Buku	Merangin	55	59
AREA 1090	Merangin	BATANG MASUMAI	Pulau Baru	Merangin	55	60
AREA 1091	Merangin	BATANG MASUMAI	Nibung	Merangin	55	61
AREA 1092	Merangin	BATANG MASUMAI	Titian Teras	Merangin	55	62
AREA 1093	Merangin	BATANG MASUMAI	Kederasan Panjang	Merangin	55	63
AREA 1094	Merangin	BATANG MASUMAI	Rantau Alai	Merangin	55	64
AREA 1095	Merangin	BATANG MASUMAI	Tambang Besi	Merangin	55	65
AREA 1096	Merangin	BATANG MASUMAI	Pelangki	Merangin	55	66
AREA 1097	Merangin	BATANG MASUMAI	Pulau Layang	Merangin	55	67
AREA 1248	Merangin	JANGKAT	Renah Kemumu	Merangin	70	73
AREA 1249	Merangin	JANGKAT	Tanjung Kasri	Merangin	70	74
AREA 1250	Merangin	JANGKAT	Lubuk Mentilin	Merangin	70	75
AREA 1251	Merangin	JANGKAT	Rantau Kermas	Merangin	70	76
AREA 1252	Merangin	JANGKAT	Renah Alai	Merangin	70	77
AREA 1253	Merangin	JANGKAT	Pulau Tengah	Merangin	70	78
AREA 1254	Merangin	JANGKAT	Lubuk Pungguk	Merangin	70	79
AREA 1255	Merangin	JANGKAT	Koto Renah	Merangin	70	80
AREA 1256	Merangin	JANGKAT	Muara Madras	Merangin	70	81
AREA 1257	Merangin	JANGKAT	Renah Pelaan	Merangin	70	82
AREA 1258	Merangin	JANGKAT	Koto Rawang	Merangin	70	83
AREA 1274	Merangin	JANGKAT TIMUR	Baru	Merangin	86	89
AREA 1275	Merangin	JANGKAT TIMUR	Tanjung Benuang	Merangin	86	90
AREA 1276	Merangin	JANGKAT TIMUR	Jangkat	Merangin	86	91
AREA 1277	Merangin	JANGKAT TIMUR	Tanjung Mudo	Merangin	86	92
AREA 1278	Merangin	JANGKAT TIMUR	Koto Teguh	Merangin	86	93
AREA 1279	Merangin	JANGKAT TIMUR	Talang Tembago	Merangin	86	94
AREA 1280	Merangin	JANGKAT TIMUR	Beringin Tinggi	Merangin	86	95
AREA 1281	Merangin	JANGKAT TIMUR	Pematang Pauh	Merangin	86	96
AREA 1282	Merangin	JANGKAT TIMUR	Rantau Suli	Merangin	86	97
AREA 1283	Merangin	JANGKAT TIMUR	Gedang	Merangin	86	98
AREA 1284	Merangin	JANGKAT TIMUR	Koto Baru	Merangin	86	99
AREA 1285	Merangin	JANGKAT TIMUR	Tanjung Alam	Merangin	86	100
AREA 1286	Merangin	JANGKAT TIMUR	Kabu	Merangin	86	101
AREA 1287	Merangin	JANGKAT TIMUR	Simpang Talang Tembago	Merangin	86	102
AREA 1259	Merangin	LEMBAH MASURAI	Tuo	Merangin	105	108
AREA 1260	Merangin	LEMBAH MASURAI	Muaro Pangi	Merangin	105	109
AREA 1261	Merangin	LEMBAH MASURAI	Nilo Dingin	Merangin	105	110
AREA 1262	Merangin	LEMBAH MASURAI	Tanjung Berugo	Merangin	105	111
AREA 1263	Merangin	LEMBAH MASURAI	Koto Rami	Merangin	105	112
AREA 1264	Merangin	LEMBAH MASURAI	Rancan	Merangin	105	113
AREA 1265	Merangin	LEMBAH MASURAI	Pasar Masurai	Merangin	105	114
AREA 1266	Merangin	LEMBAH MASURAI	Rantau Jering	Merangin	105	115
AREA 1267	Merangin	LEMBAH MASURAI	Tanjung Dalam	Merangin	105	116
AREA 1268	Merangin	LEMBAH MASURAI	Sungai Lalang	Merangin	105	117
AREA 1269	Merangin	LEMBAH MASURAI	Talang Asal	Merangin	105	118
AREA 1270	Merangin	LEMBAH MASURAI	Muara Kelukup	Merangin	105	119
AREA 1271	Merangin	LEMBAH MASURAI	Muaro Lengayo	Merangin	105	120
AREA 1272	Merangin	LEMBAH MASURAI	Talang Paruh	Merangin	105	121
AREA 1273	Merangin	LEMBAH MASURAI	Durian Mukut	Merangin	105	122
AREA 1191	Merangin	MARGO TABIR	Tanjung Rejo	Merangin	125	128
AREA 1192	Merangin	MARGO TABIR	Sumber Agung	Merangin	125	129
AREA 1193	Merangin	MARGO TABIR	Suko Rejo	Merangin	125	130
AREA 1194	Merangin	MARGO TABIR	Sido Rukun	Merangin	125	131
AREA 1195	Merangin	MARGO TABIR	Lubuk Bumbun	Merangin	125	132
AREA 1196	Merangin	MARGO TABIR	Tegal Rejo	Merangin	125	133
AREA 1226	Merangin	MUARA SIAU	Lubuk Beringin	Merangin	136	139
AREA 1227	Merangin	MUARA SIAU	Rantau Panjang	Merangin	136	140
AREA 1228	Merangin	MUARA SIAU	Peradun Temberas	Merangin	136	141
AREA 1229	Merangin	MUARA SIAU	Rantau Bidaro	Merangin	136	142
AREA 1230	Merangin	MUARA SIAU	Durian Rambun	Merangin	136	143
AREA 1231	Merangin	MUARA SIAU	Lubuk Birah	Merangin	136	144
AREA 1232	Merangin	MUARA SIAU	Rantau Macang	Merangin	136	145
AREA 1233	Merangin	MUARA SIAU	Teluk Sikumbang	Merangin	136	146
AREA 1234	Merangin	MUARA SIAU	Muara Siau	Merangin	136	147
AREA 1235	Merangin	MUARA SIAU	Tiaro	Merangin	136	148
AREA 1236	Merangin	MUARA SIAU	Air Lago	Merangin	136	149
AREA 1237	Merangin	MUARA SIAU	Badak Tekurung	Merangin	136	150
AREA 1238	Merangin	MUARA SIAU	Pulau Raman	Merangin	136	151
AREA 1239	Merangin	MUARA SIAU	Pasar Muara Siau	Merangin	136	152
AREA 1240	Merangin	MUARA SIAU	Sepantai Renah	Merangin	136	153
AREA 1241	Merangin	MUARA SIAU	Sungai Ulas	Merangin	136	154
AREA 1242	Merangin	MUARA SIAU	Rantau Bayur	Merangin	136	155
AREA 1098	Merangin	NALO TANTAN	Sungai Ulak	Merangin	158	161
AREA 1099	Merangin	NALO TANTAN	Aur Beduri	Merangin	158	162
AREA 1100	Merangin	NALO TANTAN	Telun	Merangin	158	163
AREA 1101	Merangin	NALO TANTAN	Nalo Gedang	Merangin	158	164
AREA 1102	Merangin	NALO TANTAN	Baru Nalo	Merangin	158	165
AREA 1103	Merangin	NALO TANTAN	Mentawak	Merangin	158	166
AREA 1104	Merangin	NALO TANTAN	Danau	Merangin	158	167
AREA 1132	Merangin	PAMENANG	Rejo sari	Merangin	170	173
AREA 1133	Merangin	PAMENANG	Pamenang	Merangin	170	174
AREA 1134	Merangin	PAMENANG	Jelatang	Merangin	170	175
AREA 1135	Merangin	PAMENANG	Tanjung Gedang	Merangin	170	176
AREA 1136	Merangin	PAMENANG	Empang Benao	Merangin	170	177
AREA 1137	Merangin	PAMENANG	Keroya	Merangin	170	178
AREA 1138	Merangin	PAMENANG	Muara Belengo	Merangin	170	179
AREA 1139	Merangin	PAMENANG	Karang Berahi	Merangin	170	180
AREA 1140	Merangin	PAMENANG	Pauh Menang	Merangin	170	181
AREA 1141	Merangin	PAMENANG	Pematang Kancil	Merangin	170	182
AREA 1142	Merangin	PAMENANG	Tanah Abang	Merangin	170	183
AREA 1143	Merangin	PAMENANG	Sialang	Merangin	170	184
AREA 1144	Merangin	PAMENANG	Sungai Udang	Merangin	170	185
AREA 1145	Merangin	PAMENANG	Pelakar Jaya	Merangin	170	186
AREA 1105	Merangin	PAMENANG BARAT	Tanjung Lamin	Merangin	189	192
AREA 1106	Merangin	PAMENANG BARAT	Limbur Merangin	Merangin	189	193
AREA 1107	Merangin	PAMENANG BARAT	Karang Anyar	Merangin	189	194
AREA 1108	Merangin	PAMENANG BARAT	Pinang Merah	Merangin	189	195
AREA 1109	Merangin	PAMENANG BARAT	Simpang Limbur Merangin	Merangin	189	196
AREA 1110	Merangin	PAMENANG BARAT	Mampun Baru	Merangin	189	197
AREA 1111	Merangin	PAMENANG BARAT	Papit	Merangin	189	198
AREA 1112	Merangin	PAMENANG BARAT	Pulau Tujuh	Merangin	189	199
AREA 1113	Merangin	PAMENANG SELATAN	Tambang Emas	Merangin	202	205
AREA 1114	Merangin	PAMENANG SELATAN	Tanjung Benuang	Merangin	202	206
AREA 1115	Merangin	PAMENANG SELATAN	Pulau Bayur	Merangin	202	207
AREA 1116	Merangin	PAMENANG SELATAN	Selango	Merangin	202	208
AREA 1197	Merangin	PANGKALAN JAMBU	Tanjung Mudo	Merangin	211	214
AREA 1198	Merangin	PANGKALAN JAMBU	Tiga Alur	Merangin	211	215
AREA 1199	Merangin	PANGKALAN JAMBU	Baru Pangkalan Jambu	Merangin	211	216
AREA 1200	Merangin	PANGKALAN JAMBU	Bukit Perentak	Merangin	211	217
AREA 1201	Merangin	PANGKALAN JAMBU	Birun	Merangin	211	218
AREA 1202	Merangin	PANGKALAN JAMBU	Bungo Tanjung	Merangin	211	219
AREA 1203	Merangin	PANGKALAN JAMBU	Sungai Jering	Merangin	211	220
AREA 1204	Merangin	PANGKALAN JAMBU	Kampung Limo	Merangin	211	221
AREA 1128	Merangin	RENAH PAMENANG	Meranti	Merangin	224	227
AREA 1129	Merangin	RENAH PAMENANG	Bukit Bungkul	Merangin	224	228
AREA 1130	Merangin	RENAH PAMENANG	Rasau	Merangin	224	229
AREA 1131	Merangin	RENAH PAMENANG	Lantak Seribu	Merangin	224	230
AREA 1205	Merangin	RENAH PEMBARAP	Muaro Panco Timur	Merangin	233	236
AREA 1206	Merangin	RENAH PEMBARAP	Muaro Panco Barat	Merangin	233	237
AREA 1207	Merangin	RENAH PEMBARAP	Talang Segegah	Merangin	233	238
AREA 1208	Merangin	RENAH PEMBARAP	Durian Batakuk	Merangin	233	239
AREA 1209	Merangin	RENAH PEMBARAP	Muara Bantan	Merangin	233	240
AREA 1210	Merangin	RENAH PEMBARAP	Parit Ujung Tanjung	Merangin	233	241
AREA 1211	Merangin	RENAH PEMBARAP	Guguk	Merangin	233	242
AREA 1212	Merangin	RENAH PEMBARAP	Markeh	Merangin	233	243
AREA 1213	Merangin	RENAH PEMBARAP	Air Batu	Merangin	233	244
AREA 1214	Merangin	RENAH PEMBARAP	Marus Jaya	Merangin	233	245
AREA 1215	Merangin	RENAH PEMBARAP	Renah Medan	Merangin	233	246
AREA 1216	Merangin	RENAH PEMBARAP	Simpang Parit	Merangin	233	247
AREA 1217	Merangin	SUNGAI MANAU	Tiangko	Merangin	250	253
AREA 1218	Merangin	SUNGAI MANAU	Palipan	Merangin	250	254
AREA 1219	Merangin	SUNGAI MANAU	Seringat	Merangin	250	255
AREA 1220	Merangin	SUNGAI MANAU	Durian Lecah	Merangin	250	256
AREA 1221	Merangin	SUNGAI MANAU	Bukit Batu	Merangin	250	257
AREA 1222	Merangin	SUNGAI MANAU	Sungai Nilau	Merangin	250	258
AREA 1223	Merangin	SUNGAI MANAU	Sungai Manau	Merangin	250	259
AREA 1224	Merangin	SUNGAI MANAU	Benteng	Merangin	250	260
AREA 1225	Merangin	SUNGAI MANAU	Gelanggang	Merangin	250	261
AREA 1117	Merangin	TABIR	Dusun Baru	Merangin	264	267
AREA 1118	Merangin	TABIR	Lubuk Napal	Merangin	264	268
AREA 1119	Merangin	TABIR	Pasar R. Panjang	Merangin	264	269
AREA 1120	Merangin	TABIR	Beluran Panjang	Merangin	264	270
AREA 1121	Merangin	TABIR	Kampung Baruh	Merangin	264	271
AREA 1122	Merangin	TABIR	Mampun	Merangin	264	272
AREA 1123	Merangin	TABIR	Pasar Baru Rantau	Merangin	264	273
AREA 1124	Merangin	TABIR	Kandang	Merangin	264	274
AREA 1125	Merangin	TABIR	Koto Rayo	Merangin	264	275
AREA 1126	Merangin	TABIR	Tanjung Ilir	Merangin	264	276
AREA 1127	Merangin	TABIR	Seling	Merangin	264	277
AREA 1160	Merangin	TABIR BARAT	Pulau Tebakar	Merangin	280	283
AREA 1161	Merangin	TABIR BARAT	Muara Langeh	Merangin	280	284
