section	kabupaten_source	kecamatan	dealer_or_pos	ring_status	source_file	sheet	source_cell	currentness
Kota Jambi	JAMBI	JAMBI SELATAN	HSO Jambi	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	F9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	MWP Rimbo	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	G9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	NSS Jambi	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	H9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	PAS JAMBI	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	I9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	POS DAM Chandra	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	J9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	POS DAM Mayang	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	K9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	POS HSO Liverpool	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	L9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	POS SSM Mayang	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	M9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	POS TDM Buluran	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	N9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	SM Talang Bakung	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	O9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	SSM Rawasari	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	P9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	SSM The Hok	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	Q9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	SSP Abunjani	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	R9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	SSP Handil	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	S9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	SSP Paal VI	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	T9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	SSP Wahidin	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	U9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
